name,description,category,impact_factor,effort_multiplier,cost_multiplier,duration_multiplier
Very High Reliability,Mission-critical system with minimal acceptable failure rate,reliability,1.40,1.40,1.40,1.20
High Reliability,High-priority system with moderate failure tolerance,reliability,1.15,1.15,1.15,1.10
Nominal Reliability,Standard reliability requirements,reliability,1.00,1.00,1.00,1.00
Low Reliability,Non-critical system with higher failure tolerance,reliability,0.88,0.88,0.88,0.90
Very Large Database,Database over 100GB,database_size,1.40,1.40,1.40,1.30
Large Database,Database 10-100GB,database_size,1.20,1.20,1.20,1.15
Medium Database,Database 1-10GB,database_size,1.00,1.00,1.00,1.00
Small Database,Database under 1GB,database_size,0.90,0.90,0.90,0.90
Very High Complexity,Very complex algorithms and data structures,complexity,1.65,1.65,1.65,1.40
High Complexity,Complex algorithms and data structures,complexity,1.30,1.30,1.30,1.20
Nominal Complexity,Standard complexity,complexity,1.00,1.00,1.00,1.00
Low Complexity,Simple algorithms and data structures,complexity,0.87,0.87,0.87,0.90
Very Tight Timeline,Less than 50% scheduling flexibility,time_constraint,1.30,1.30,1.30,1.50
Tight Timeline,50-75% scheduling flexibility,time_constraint,1.11,1.11,1.11,1.20
Moderate Timeline,75-100% scheduling flexibility,time_constraint,1.00,1.00,1.00,1.00
Loose Timeline,Greater than 100% scheduling flexibility,time_constraint,1.00,1.00,1.00,0.90
Junior Team,Less than 1 year average experience,people,1.46,1.46,1.46,1.40
Mixed Experience,Mix of junior and senior developers,people,1.15,1.15,1.15,1.15
Senior Team,3+ years average experience,people,0.71,0.71,0.71,0.85
Low Tool Experience,New tools and processes,experience,1.29,1.29,1.29,1.20
Average Tool Experience,Standard tools and processes,experience,1.00,1.00,1.00,1.00
High Tool Experience,Familiar tools and processes,experience,0.81,0.81,0.81,0.90
